I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
4.000000,4.712389,0.050000,0.000000,0.000000,0.036042,-0.040586,0.000000,9.840646,-3.256529,0.000000,0.065910,-0.043940,0.000000,0.052040,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.044801,-0.041287,0.000000,9.947205,-3.033617,0.000000,0.043940,-0.021970,0.021970,0.028700,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.043159,-0.013417,0.000000,10.003684,-2.970913,0.000000,0.043940,-0.043940,0.021970,0.048095,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.048469,-0.014839,0.000000,10.003827,-2.809857,0.000000,0.043940,-0.043940,0.021970,0.048279,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.027688,-0.032216,0.000000,10.055779,-2.630073,0.000000,0.043940,-0.043940,0.021970,0.048625,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.035437,-0.053509,0.000000,10.036408,-2.352012,0.000000,0.065910,-0.021970,0.021970,0.037747,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.013873,-0.014127,0.000000,10.090319,-2.160081,0.000000,0.021970,0.000000,0.021970,0.007279,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.044092,0.000814,0.000000,10.014770,-2.023348,0.000000,0.021970,-0.043940,0.021970,0.041486,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.021803,-0.005411,0.000000,10.070494,-1.906512,0.000000,0.021970,-0.043940,0.021970,0.041314,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.041407,-0.016653,0.000000,10.021483,-1.703851,0.000000,0.043940,-0.021970,0.043940,0.033621,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.027574,-0.032858,0.000000,10.056064,-1.497932,0.000000,0.043940,0.021970,0.021970,0.002262,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.038680,-0.044686,0.000000,10.028301,-1.241371,0.000000,0.043940,-0.043940,0.021970,0.050001,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.031131,-0.092573,0.000000,10.047172,-0.988504,0.000000,0.087880,-0.021970,0.000000,0.054826,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.031441,0.015035,0.000000,10.046397,-1.124164,0.000000,0.043940,-0.043940,0.021970,0.050219,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.037963,-0.000008,0.000000,10.030093,-0.939323,0.000000,0.021970,-0.043940,0.043940,0.039490,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.032501,-0.012273,0.000000,10.043747,-0.753671,0.000000,0.021970,-0.021970,0.021970,0.025185,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.023115,0.004591,0.000000,10.067212,-0.597023,0.000000,0.021970,-0.021970,0.021970,0.025202,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.030629,-0.036634,0.000000,10.048429,-0.273535,0.000000,0.043940,0.000000,0.021970,0.024366,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.015918,-0.030850,0.000000,10.085206,-0.011095,0.000000,0.043940,0.000000,0.021970,0.024914,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.029602,-0.033346,0.000000,10.050994,0.249039,0.000000,0.043940,0.000000,0.021970,0.025999,0.000000
